AR-SLu	San Luis	-33.4648	-66.4598
AR-Vir	Virasoro	-28.2395	-56.1886
AT-Neu	Neustift	47.11667	11.3175
AU-ASM	Alice Springs	-22.2830	133.2490
AU-Ade	Adelaide River	-13.0769	131.1178
AU-Cpr	Calperum	-34.0021	140.5891
AU-Cum	Cumberland Plain	-33.61518	150.72362
AU-DaP	Daly River Savanna	-14.0633	131.3181
AU-DaS	Daly River Cleared	-14.1593	131.3881
AU-Dry	Dry River	-15.2588	132.3706
AU-Emr	Emerald	-23.8587	148.4746
AU-Fog	Fogg Dam	-12.5452	131.3072
AU-GWW	Great Western Woodlands, Western Australia, Australia	-30.1913	120.6541
AU-Gin	Gingin	-31.3764	115.7138
AU-How	Howard Springs	-12.4943	131.1523
AU-Lox	Loxton	-34.4704	140.6551
AU-RDF	Red Dirt Melon Farm, Northern Territory	-14.5636	132.4776
AU-Rig	Riggs Creek	-36.6499	145.5759
AU-Rob	Robson Creek, Queensland, Australia	-17.1175	145.6301
AU-Stp	Sturt Plains	-17.1507	133.3502
AU-TTE	Ti Tree East	-22.2870	133.6400
AU-Tum	Tumbarumba	-35.6566	148.1517
AU-Wac	Wallaby Creek	-37.4259	145.1878
AU-Whr	Whroo	-36.6732	145.0294
AU-Wom	Wombat	-37.4222	144.0944
AU-Ync	Jaxa	-34.9893	146.2907
BE-Bra	Brasschaat	51.30761	4.51984
BE-Lon	Lonzee	50.55162	4.74623
BE-Vie	Vielsalm	50.30493	5.99812
BR-Npw	Northern Pantanal Wetland	-16.4980	-56.4120
BR-Sa1	Santarem-Km67-Primary Forest	-2.85667	-54.9588900
BR-Sa3	Santarem-Km83-Logged Forest	-3.01803	-54.9714400
BW-Gum	Guma	-18.96472222	22.37111111
BW-Nxr	Nxaraga	-19.54805556	23.17916667
CA-Gro	Ontario - Groundhog River, Boreal Mixedwood Forest	48.2167	-82.1556
CA-Man	Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)	55.8796200	-98.4808100
CA-NS1	UCI-1850 burn site	55.8791700	-98.4838900
CA-NS2	UCI-1930 burn site	55.9058300	-98.5247200
CA-NS3	UCI-1964 burn site	55.9116700	-98.3822200
CA-NS4	UCI-1964 burn site wet	55.914370	-98.380645
CA-NS5	UCI-1981 burn site	55.8630600	-98.4850
CA-NS6	UCI-1989 burn site	55.9166700	-98.9644400
CA-NS7	UCI-1998 burn site	56.6358300	-99.9483300
CA-Oas	Saskatchewan - Western Boreal, Mature Aspen	53.6288900	-106.1977900
CA-Obs	Saskatchewan - Western Boreal, Mature Black Spruce	53.9871700	-105.1177900
CA-Qfo	Quebec - Eastern Boreal, Mature Black Spruce	49.6925	-74.3420600
CA-SCB	Scotty Creek Bog	61.3089	-121.2984
CA-SCC	Scotty Creek Landscape	61.3079	-121.2992
CA-SF1	Saskatchewan - Western Boreal, forest burned in 1977	54.4850300	-105.8175700
CA-SF2	Saskatchewan - Western Boreal, forest burned in 1989	54.2539200	-105.8775000
CA-SF3	Saskatchewan - Western Boreal, forest burned in 1998	54.0915600	-106.0052600
CA-TP1	Ontario - Turkey Point 2002 Plantation White Pine	42.66093611	-80.55951944
CA-TP2	Ontario - Turkey Point 1989 Plantation White Pine	42.77441944	-80.458775
CA-TP3	Ontario - Turkey Point 1974 Plantation White Pine	42.70681111	-80.34831389
CA-TP4	Ontario - Turkey Point 1939 Plantation White Pine	42.710161	-80.357376
CA-TPD	Ontario - Turkey Point Mature Deciduous	42.635328	-80.557731
CG-Tch	Tchizalamou	-4.28917	11.65642
CH-Cha	Chamau	47.21022	8.41044
CH-Dav	Davos	46.81533	9.85591
CH-Fru	Früebüel	47.11583	8.53778
CH-Lae	Laegern	47.47833	8.36439
CH-Oe1	Oensingen grassland	47.28583	7.73194
CH-Oe2	Oensingen crop	47.28642	7.73375
CN-Cha	Changbaishan	42.4025 128.0958
CN-Cng	Changling	44.5934	123.5092
CN-Dan	Dangxiong	30.4978	91.0664
CN-Din	Dinghushan	23.1733	112.5361
CN-Du2	Duolun_grassland (D01)	42.0467	116.2836
CN-Du3	Duolun Degraded Meadow	42.0551	116.2809
CN-Ha2	Haibei Shrubland	37.6086	101.3269
CN-HaM	Haibei Alpine Tibet site	37.3700	101.1800
CN-Hgu	Hongyuan	32.845278	102.590000
CN-Qia	Qianyanzhou	26.7414	115.0581
CN-Sw2	Siziwang Grazed (SZWG)	41.7902	111.8971
CZ-BK1	Bily Kriz forest	49.50208	18.53688
CZ-BK2	Bily Kriz grassland	49.49443	18.54285
CZ-wet	Trebon (CZECHWET)	49.02465	14.77035
DE-Akm	Anklam	53.86617	13.68342
DE-Dgw	Dagowsee	53.1514092	13.0542746
DE-Geb	Gebesee	51.09973	10.91463
DE-Gri	Grillenburg	50.95004	13.51259
DE-Hai	Hainich	51.07921	10.45217
DE-Hte	Huetelmoor	54.210278	12.176111
DE-Kli	Klingenberg	50.89306	13.52238
DE-Lkb	Lackenberg	49.09962	13.30467
DE-Lnf	Leinefelde	51.32822	10.3678
DE-Obe	Oberbärenburg	50.78666	13.72129
DE-RuR	Rollesbroich	50.62191	6.30413
DE-RuS	Selhausen Juelich	50.86591	6.44714
DE-Seh	Selhausen	50.87062	6.44965
DE-SfN	Schechenfilz Nord	47.80639	11.3275
DE-Spw	Spreewald	51.89225	14.03369
DE-Tha	Tharandt	50.96256	13.56515
DE-Zrk	Zarnekow	53.87594	12.88901
DK-Eng	Enghave	55.69053	12.19175
DK-Fou	Foulum	56.4842	9.58722
DK-Sor	Soroe	55.48587	11.64464
ES-Amo	Amoladeras	36.83361	-2.25232
ES-LJu	Llano de los Juanes	36.92659	-2.75212
ES-LgS	Laguna Seca	37.09794	-2.96583
ES-Ln2	Lanjaron-Salvage logging	36.9695	-3.47582
FI-Hyy	Hyytiala	61.84741	24.29477
FI-Jok	Jokioinen	60.8986	23.51345
FI-Let	Lettosuo	60.64183	23.95952
FI-Lom	Lompolojankka	67.99724	24.20918
FI-Si2	Siikaneva-2 Bog	61.8372	24.1967
FI-Sii	Siikaneva	61.83265	24.19285
FI-Sod	Sodankyla	67.36239	26.63859
FR-Fon	Fontainebleau-Barbeau	48.47636	2.7801
FR-Gri	Grignon	48.84422	1.95191
FR-LBr	Le Bray	44.71711	-0.7693
FR-LGt	La Guette	47.322917	2.284102
FR-Pue	Puechabon	43.7413	3.5957
GF-Guy	Guyaflux (French Guiana)	5.27877	-52.92486
GH-Ank	Ankasa	5.26854	-2.69421
GL-NuF	Nuuk Fen	64.13083	-51.38611
GL-ZaF	Zackenberg Fen	74.48143	-20.55452
GL-ZaH	Zackenberg Heath	74.47328	-20.5503
HK-MPM	Mai Po Mangrove	22.498167	114.0292358
ID-Pag	Palangkaraya undrained forest	-2.3200	113.9000
IT-BCi	Borgo Cioffi	40.52375	14.95744
IT-CA1	Castel d'Asso1	42.38041	12.02656
IT-CA2	Castel d'Asso2	42.37722	12.02604
IT-CA3	Castel d'Asso3	42.3800	12.0222
IT-Cas	Castellaro	45.07004722	8.717522222
IT-Col	Collelongo	41.84936	13.58814
IT-Cp2	Castelporziano2	41.70427	12.35729
IT-Cpz	Castelporziano	41.70525	12.37611
IT-Isp	Ispra ABC-IS	45.81264	8.63358
IT-La2	Lavarone2	45.9542	11.2853
IT-Lav	Lavarone	45.9562	11.28132
IT-MBo	Monte Bondone	46.01468	11.04583
IT-Noe	Arca di Noe - Le Prigionette	40.60618	8.15169
IT-PT1	Parco Ticino forest	45.20087	9.06104
IT-Ren	Renon	46.58686	11.43369
IT-Ro1	Roccarespampani 1	42.40812	11.93001
IT-Ro2	Roccarespampani 2	42.39026	11.92093
IT-SR2	San Rossore 2	43.73202	10.29091
IT-SRo	San Rossore	43.72786	10.28444
IT-Tor	Torgnon	45.84444	7.57806
JP-BBY	Bibai bog	43.32300556	141.8106972
JP-MBF	Moshiri Birch Forest Site	44.3869	142.3186
JP-Mse	Mase rice paddy field	36.05393	140.02693
JP-SMF	Seto Mixed Forest Site	35.2617	137.0788
JP-SwL	Suwa Lake	36.046572	138.108353
KR-CRK	Cheorwon Rice paddy	38.2013	127.2506
MY-MLM	Maludam National Park	1.453575	111.149492
MY-PSO	Pasoh Forest Reserve (PSO)	2.9730	102.3062
NL-Hor	Horstermeer	52.24035	5.0713
NL-Loo	Loobos	52.16658	5.74356
NZ-Kop	Kopuatai	-37.3879	175.5539
PA-SPn	Sardinilla Plantation	9.31814	-79.6346
PA-SPs	Sardinilla-Pasture	9.31378	-79.63143
PH-RiF	Philippines Rice Institute flooded	14.14119	121.26526
RU-Ch2	Chersky reference	68.61689	161.35089
RU-Che	Cherski	68.61304	161.34143
RU-Cok	Chokurdakh	70.82914	147.49428
RU-Fy2	Fyodorovskoye dry spruce	56.4476	32.9019
RU-Fyo	Fyodorovskoye	56.46153	32.92208
RU-Ha1	Hakasia steppe	54.72517	90.00215
RU-Sam	Samoylov	72.3738	126.4958
RU-SkP	Yakutsk Spasskaya Pad larch	62.2550	129.1680
RU-Tks	Tiksi	71.59427	128.88782
RU-Vrk	Seida/Vorkuta	67.0546798706055	62.9404678344727
SD-Dem	Demokeya	13.2829	30.4783
SE-Deg	Degero	64.182029	19.556539
SE-St1	Stordalen grassland	68.3541488	19.050333
SJ-Adv	Adventdalen	78.1860	15.9230
SJ-Blv	Bayelva, Spitsbergen	78.92163	11.83109
SN-Dhr	Dahra	15.40278	-15.43222
UK-LBT	London_BT	51.5215	-0.1389
US-A03	ARM-AMF3-Oliktok	70.495328	-149.882297
US-A10	ARM-NSA-Barrow	71.3242	-156.6149
US-AR1	ARM USDA UNL OSU Woodward Switchgrass 1	36.4267	-99.4200
US-AR2	ARM USDA UNL OSU Woodward Switchgrass 2	36.6358	-99.5975
US-ARM	ARM Southern Great Plains site- Lamont	36.6058	-97.4888
US-ARb	ARM Southern Great Plains burn site- Lamont	35.5497	-98.0402
US-ARc	ARM Southern Great Plains control site- Lamont	35.54649	-98.0400
US-Atq	Atqasuk	70.4696	-157.4089
US-BZB	Bonanza Creek Thermokarst Bog	64.695547	-148.320836
US-BZF	Bonanza Creek Rich Fen	64.703733	-148.313333
US-BZS	Bonanza Creek Black Spruce	64.69635	-148.323525
US-Beo	Barrow Environmental Observatory (BEO) tower	71.2810	-156.6123
US-Bes	Barrow-Bes (Biocomplexity Experiment South tower)	71.2809	-156.5965
US-Bi1	Bouldin Island Alfalfa	38.0991538	-121.49933
US-Bi2	Bouldin Island corn	38.1090707	-121.5350925
US-Blo	Blodgett Forest	38.8953	-120.6328
US-CRT	Curtice Walter-Berger cropland	41.628495	-83.347086
US-Cop	Corral Pocket	38.09	-109.39
US-DPW	Disney Wilderness Preserve Wetland	28.05206	-81.43611
US-EDN	Eden Landing Ecological Reserve	37.61562	-122.1140
US-EML	Eight Mile Lake Permafrost thaw gradient, Healy Alaska.	63.8784	-149.2536
US-GBT	GLEES Brooklyn Tower	41.36579	-106.2397
US-GLE	GLEES	41.36653	-106.2399
US-Goo	Goodwin Creek	34.2547	-89.8735
US-HRA	Humnoke Farm Rice Field – Field A	34.585208	-91.751735
US-HRC	Humnoke Farm Rice Field – Field C	34.588830	-91.751658
US-Ha1	Harvard Forest EMS Tower (HFR1)	42.5378	-72.1715
US-Ho1	Howland Forest (main tower)	45.2041	-68.7402
US-IB2	Fermi National Accelerator Laboratory- Batavia (Prairie site)	41.8406200	-88.2410300
US-ICs	Imnavait Creek Watershed Wet Sedge Tundra	68.6058	-149.3110
US-Ivo	Ivotuk	68.4865	-155.7503
US-KS1	Kennedy Space Center (slash pine)	28.4583	-80.6709
US-KS2	Kennedy Space Center (scrub oak)	28.6086	-80.6715
US-LA1	Pointe-aux-Chenes Brackish Marsh	29.5013	-90.4449
US-LA2	Salvador WMA Freshwater Marsh	29.8587	-90.2869
US-LWW	Little Washita Watershed	34.9604	-97.9789
US-Lin	Lindcove Orange Orchard	36.356578	-119.092222
US-Los	Lost Creek	46.0827	-89.9792
US-MAC	MacArthur Agro-Ecology	27.163200	-81.187302
US-MMS	Morgan Monroe State Forest	39.3232	-86.4131
US-MRM	Marsh Resource Meadowlands Mitigation Bank	40.8164	-74.0435
US-Me1	Metolius - Eyerly burn	44.5794	-121.5000
US-Me2	Metolius mature ponderosa pine	44.4523	-121.5574
US-Me3	Metolius-second young aged pine	44.3154	-121.6078
US-Me4	Metolius-old aged ponderosa pine	44.4992	-121.6224
US-Me5	Metolius-first young aged pine	44.4371900	-121.5667600
US-Me6	Metolius Young Pine Burn	44.3232842	-121.6078
US-Myb	Mayberry Wetland	38.049861	-121.76498
US-NC4	NC_AlligatorRiver	35.7879	-75.9038
US-NGB	NGEE Arctic Barrow	71.280044	-156.609181
US-NGC	NGEE Arctic Council	64.8614	-163.7008
US-NR1	Niwot Ridge Forest (LTER NWT1)	40.0329	-105.5464
US-Ne1	Mead - irrigated continuous maize site	41.1650600	-96.4766400
US-Ne2	Mead - irrigated maize-soybean rotation site	41.1648700	-96.4701
US-Ne3	Mead - rainfed maize-soybean rotation site	41.1796700	-96.4396500
US-ORv	Olentangy River Wetland Research Park	40.0201	-83.0183
US-OWC	Old Woman Creek	41.37951667	-82.5124667
US-Oho	Oak Openings	41.5545	-83.8438
US-PFa	Park Falls/WLEF	45.9459	-90.2723
US-Prr	Poker Flat Research Range Black Spruce Forest	65.12367	-147.48756
US-SRC	Santa Rita Creosote	31.9083	-110.8395
US-SRG	Santa Rita Grassland	31.789379	-110.827675
US-SRM	Santa Rita Mesquite	31.8214	-110.8661
US-Snd	Sherman Island	38.036621	-121.754015
US-Sne	Sherman Island Restored Wetland	38.0369	-121.7547
US-Srr	Suisun marsh - Rush Ranch	38.200556	-122.026358
US-StJ	St Jones Reserve	39.08821106	-75.43722534
US-Sta	Saratoga	41.3966	-106.8024
US-Syv	Sylvania Wilderness Area	46.2420	-89.3477
US-Ton	Tonzi Ranch	38.43093184	-120.9659907
US-Tw1	Twitchell Wetland West Pond	38.1074	-121.6469
US-Tw2	Twitchell Corn	38.1047	-121.6433
US-Tw3	Twitchell Alfalfa	38.115162	-121.646860
US-Tw4	Twitchell East End Wetland	38.10274361	-121.6413286
US-Tw5	East Pond Wetland	38.107155	-121.642570
US-Twt	Twitchell Island	38.1087204	-121.65310
US-UMB	Univ. of Mich. Biological Station	45.5598	-84.7138
US-UMd	UMBS Disturbance	45.5625	-84.6975
US-Uaf	University of Alaska, Fairbanks	64.86627	-147.85553
US-Var	Vaira Ranch- Ione	38.41329154	-120.9507564
US-WCr	Willow Creek	45.8059	-90.0799
US-WPT	Winous Point North Marsh	41.464639	-82.996157
US-Whs	Walnut Gulch Lucky Hills Shrub	31.7438	-110.0522
US-Wi0	Young red pine (YRP)	46.6187780	-91.0814440
US-Wi1	Intermediate hardwood (IHW)	46.7304720	-91.2329440
US-Wi2	Intermediate red pine (IRP)	46.6868890	-91.1528330
US-Wi3	Mature hardwood (MHW)	46.6347220	-91.0986670
US-Wi4	Mature red pine (MRP)	46.7393330	-91.1662500
US-Wi5	Mixed young jack pine (MYJP)	46.6530830	-91.0858060
US-Wi6	Pine barrens #1 (PB1)	46.6248890	-91.2982220
US-Wi7	Red pine clearcut (RPCC)	46.6491110	-91.0692780
US-Wi8	Young hardwood clearcut (YHW)	46.7223330	-91.2524170
US-Wi9	Young Jack pine (YJP)	46.738514	-91.074644
US-Wkg	Walnut Gulch Kendall Grasslands	31.7365	-109.9419
ZA-Kru	Skukuza	-25.0197	31.4969
ZM-Mon	Mongu	-15.4391	23.2525